-1.9999999999999991,-1.9999999999999991,-1.9999999999999991,-1.9999999999999991
affinia,-10.521273260894592,-11.693803720052117,-10.437439992059728,-11.547858506058416
chicago,-6.9872946888922405,-8.411768352288266,-6.406221261449008,-7.3228921410581425
one,-7.936310760173435,-7.877110933415175,-8.49258154625219,-8.679962042065762
worst,-9.936310760173436,-10.905307825245828,-14.75936808694709,-14.86978660094578
hotels,-9.273345747451007,-9.044710881911245,-9.086942744975595,-9.477469178167018
ever,-9.713918338836987,-10.34588041663181,-9.235806130890078,-10.782323759695439
stayed,-8.50632291942862,-8.661382242359739,-8.144658242831882,-7.999421881362375
life,-12.298880839558143,-12.568272837968257,-11.75936808694709,-12.86978660094578
treated,-12.298880839558143,-11.831307243802051,-10.952013164889486,-11.86978660094578
poorly,-12.298880839558143,-12.34588041663181,-14.75936808694709,-14.86978660094578
guest,-11.106235761615748,-10.831307243802051,-10.589443085504778,-11.547858506058416
front,-8.476879141536138,-8.598646487011775,-10.115511897172366,-9.443521846243682
desk,-8.12895583811583,-8.234372101414818,-9.901387091819519,-9.011805605818207
unaccommodating,-14.106235761615748,-15.153235338689413,-14.75936808694709,-14.86978660094578
asked,-9.521273260894592,-9.320345324524672,-10.952013164889486,-10.782323759695439
smoke,-10.152039451228873,-11.9833103372471,-13.75936808694709,-12.547858506058416
free,-10.64680414297845,-9.831307243802051,-10.437439992059728,-9.346224644888766
room,-5.8630617781427965,-6.175955415189496,-6.793583802285004,-6.512234596327695
made,-9.152039451228873,-9.34588041663181,-9.437439992059728,-9.915590290558903
error,-12.784307666728385,-12.831307243802051,-14.75936808694709,-14.86978660094578
reservation,-9.35134825945228,-9.34588041663181,-11.75936808694709,-12.062431678888174
bellhop,-12.784307666728385,-14.153235338689413,-13.174405586225934,-13.86978660094578
available,-9.8208335427535,-10.905307825245828,-10.952013164889486,-12.062431678888174
strange,-13.521273260894592,-13.153235338689413,-13.75936808694709,-14.86978660094578
reason,-12.106235761615748,-12.34588041663181,-12.437439992059728,-13.86978660094578
move,-11.405796043474655,-11.45279562054832,-13.75936808694709,-13.86978660094578
luggage,-11.018772920365409,-11.693803720052117,-14.75936808694709,-13.284824100224624
